updateDate,code,code_name
2020-07-27,sh.600000,浦发银行
2020-07-27,sh.600004,白云机场
2020-07-27,sh.600009,上海机场
2020-07-27,sh.600010,包钢股份
2020-07-27,sh.600011,华能国际
2020-07-27,sh.600015,华夏银行
2020-07-27,sh.600016,民生银行
2020-07-27,sh.600018,上港集团
2020-07-27,sh.600019,宝钢股份
2020-07-27,sh.600025,华能水电
2020-07-27,sh.600027,华电国际
2020-07-27,sh.600028,中国石化
2020-07-27,sh.600029,南方航空
2020-07-27,sh.600030,中信证券
2020-07-27,sh.600031,三一重工
2020-07-27,sh.600036,招商银行
2020-07-27,sh.600038,中直股份
2020-07-27,sh.600048,保利地产
2020-07-27,sh.600050,中国联通
2020-07-27,sh.600061,国投资本
2020-07-27,sh.600066,宇通客车
2020-07-27,sh.600068,葛洲坝
2020-07-27,sh.600085,同仁堂
2020-07-27,sh.600089,特变电工
2020-07-27,sh.600104,上汽集团
2020-07-27,sh.600109,国金证券
2020-07-27,sh.600111,北方稀土
2020-07-27,sh.600115,东方航空
2020-07-27,sh.600118,中国卫星
2020-07-27,sh.600170,上海建工
2020-07-27,sh.600176,中国巨石
2020-07-27,sh.600177,雅戈尔
2020-07-27,sh.600183,生益科技
2020-07-27,sh.600188,兖州煤业
2020-07-27,sh.600196,复星医药
2020-07-27,sh.600208,新湖中宝
2020-07-27,sh.600219,南山铝业
2020-07-27,sh.600221,海航控股
2020-07-27,sh.600233,圆通速递
2020-07-27,sh.600271,航天信息
2020-07-27,sh.600276,恒瑞医药
2020-07-27,sh.600297,广汇汽车
2020-07-27,sh.600299,安迪苏
2020-07-27,sh.600309,万华化学
2020-07-27,sh.600332,白云山
2020-07-27,sh.600340,华夏幸福
2020-07-27,sh.600346,恒力石化
2020-07-27,sh.600352,浙江龙盛
2020-07-27,sh.600362,江西铜业
2020-07-27,sh.600369,西南证券
2020-07-27,sh.600372,中航电子
2020-07-27,sh.600383,金地集团
2020-07-27,sh.600390,五矿资本
2020-07-27,sh.600398,海澜之家
2020-07-27,sh.600406,国电南瑞
2020-07-27,sh.600436,片仔癀
2020-07-27,sh.600438,通威股份
2020-07-27,sh.600482,中国动力
2020-07-27,sh.600487,亨通光电
2020-07-27,sh.600489,中金黄金
2020-07-27,sh.600498,烽火通信
2020-07-27,sh.600516,方大炭素
2020-07-27,sh.600519,贵州茅台
2020-07-27,sh.600522,中天科技
2020-07-27,sh.600547,山东黄金
2020-07-27,sh.600570,恒生电子
2020-07-27,sh.600583,海油工程
2020-07-27,sh.600585,海螺水泥
2020-07-27,sh.600588,用友网络
2020-07-27,sh.600606,绿地控股
2020-07-27,sh.600637,东方明珠
2020-07-27,sh.600655,豫园股份
2020-07-27,sh.600660,福耀玻璃
2020-07-27,sh.600674,川投能源
2020-07-27,sh.600690,海尔智家
2020-07-27,sh.600703,三安光电
2020-07-27,sh.600705,中航资本
2020-07-27,sh.600741,华域汽车
2020-07-27,sh.600745,闻泰科技
2020-07-27,sh.600760,中航沈飞
2020-07-27,sh.600795,国电电力
2020-07-27,sh.600809,山西汾酒
2020-07-27,sh.600837,海通证券
2020-07-27,sh.600848,上海临港
2020-07-27,sh.600867,通化东宝
2020-07-27,sh.600886,国投电力
2020-07-27,sh.600887,伊利股份
2020-07-27,sh.600893,航发动力
2020-07-27,sh.600900,长江电力
2020-07-27,sh.600919,江苏银行
2020-07-27,sh.600926,杭州银行
2020-07-27,sh.600928,西安银行
2020-07-27,sh.600958,东方证券
2020-07-27,sh.600968,海油发展
2020-07-27,sh.600977,中国电影
2020-07-27,sh.600989,宝丰能源
2020-07-27,sh.600998,九州通
2020-07-27,sh.600999,招商证券
2020-07-27,sh.601006,大秦铁路
2020-07-27,sh.601009,南京银行
2020-07-27,sh.601012,隆基股份
2020-07-27,sh.601018,宁波港
2020-07-27,sh.601021,春秋航空
2020-07-27,sh.601066,中信建投
2020-07-27,sh.601077,渝农商行
2020-07-27,sh.601088,中国神华
2020-07-27,sh.601100,恒立液压
2020-07-27,sh.601108,财通证券
2020-07-27,sh.601111,中国国航
2020-07-27,sh.601117,中国化学
2020-07-27,sh.601138,工业富联
2020-07-27,sh.601155,新城控股
2020-07-27,sh.601162,天风证券
2020-07-27,sh.601166,兴业银行
2020-07-27,sh.601169,北京银行
2020-07-27,sh.601186,中国铁建
2020-07-27,sh.601198,东兴证券
2020-07-27,sh.601211,国泰君安
2020-07-27,sh.601212,白银有色
2020-07-27,sh.601216,君正集团
2020-07-27,sh.601225,陕西煤业
2020-07-27,sh.601229,上海银行
2020-07-27,sh.601231,环旭电子
2020-07-27,sh.601236,红塔证券
2020-07-27,sh.601238,广汽集团
2020-07-27,sh.601288,农业银行
2020-07-27,sh.601298,青岛港
2020-07-27,sh.601318,中国平安
2020-07-27,sh.601319,中国人保
2020-07-27,sh.601328,交通银行
2020-07-27,sh.601336,新华保险
